WARNING: Found unrecognized keyword args. These are ignored.
  --gamma1
Dataset Summary:
X Data
  total size: 5000 units
  batch size: 1000 units
  num. batches: 5
Allocation Model:  DP mixture with K=0. Concentration gamma0= 5.00
Obs. Data  Model:  Gaussian with full covariance.
Obs. Data  Prior:  Gauss-Wishart on mean and covar of each cluster
  E[  mean[k] ] = 
   [0. 0.]  ...
  E[ covar[k] ] = 
  [[0.1 0. ]
   [0.  0.1]] ...
Initialization:
  initname = randexamples
  K = 1 (number of clusters)
  seed = 1607680
  elapsed_time: 0.0 sec
Learn Alg: memoVB | task  1/1 | alg. seed: 1607680 | data order seed: 8541952
task_output_path: /home/zifeng/Research/DPVAE/mnist_results_new8/Kmax50mnistepoch10batch_iter3scale0.005bs5000rep2sf0.1/1
    0.200/300 after      0 sec. |   1225.2 MiB | K    1 | loss  2.857691383e+00 |  
   21.000/300 after      3 sec. |   1228.0 MiB | K   12 | loss  1.976955115e+00 | Ndiff    1.056 
   22.000/300 after      3 sec. |   1228.0 MiB | K   12 | loss  1.976872575e+00 | Ndiff    0.505 
   23.000/300 after      3 sec. |   1228.3 MiB | K   12 | loss  1.976862080e+00 | Ndiff    0.341 
   24.000/300 after      3 sec. |   1228.3 MiB | K   12 | loss  1.976858585e+00 | Ndiff    0.202 
   25.000/300 after      3 sec. |   1228.3 MiB | K   12 | loss  1.976856348e+00 | Ndiff    0.204 
   26.000/300 after      3 sec. |   1228.3 MiB | K   12 | loss  1.976854603e+00 | Ndiff    0.159 
   27.000/300 after      3 sec. |   1228.3 MiB | K   12 | loss  1.976853154e+00 | Ndiff    0.155 
   28.000/300 after      3 sec. |   1228.3 MiB | K   12 | loss  1.976851898e+00 | Ndiff    0.120 
   29.000/300 after      3 sec. |   1228.3 MiB | K   12 | loss  1.976850761e+00 | Ndiff    0.122 
   30.000/300 after      3 sec. |   1228.3 MiB | K   12 | loss  1.976849723e+00 | Ndiff    0.171 
   31.000/300 after      4 sec. |   1228.3 MiB | K   12 | loss  1.976848741e+00 | Ndiff    0.113 
   32.000/300 after      4 sec. |   1228.3 MiB | K   14 | loss  1.964438789e+00 | Ndiff    0.126 
   33.000/300 after      4 sec. |   1228.5 MiB | K   13 | loss  1.961823809e+00 | Ndiff    3.112 
   34.000/300 after      4 sec. |   1228.5 MiB | K   13 | loss  1.961220709e+00 | Ndiff    5.789 
   35.000/300 after      4 sec. |   1228.5 MiB | K   13 | loss  1.960915767e+00 | Ndiff    2.530 
   36.000/300 after      4 sec. |   1228.5 MiB | K   13 | loss  1.960844383e+00 | Ndiff    1.783 
   37.000/300 after      4 sec. |   1228.5 MiB | K   13 | loss  1.960824402e+00 | Ndiff    0.808 
   38.000/300 after      4 sec. |   1228.5 MiB | K   13 | loss  1.960817729e+00 | Ndiff    0.391 
   39.000/300 after      4 sec. |   1228.5 MiB | K   13 | loss  1.960814255e+00 | Ndiff    0.356 
   40.000/300 after      5 sec. |   1228.5 MiB | K   13 | loss  1.960811923e+00 | Ndiff    0.333 
   41.000/300 after      5 sec. |   1228.5 MiB | K   13 | loss  1.960809878e+00 | Ndiff    0.216 
   42.000/300 after      5 sec. |   1228.5 MiB | K   13 | loss  1.960807776e+00 | Ndiff    0.291 
   43.000/300 after      5 sec. |   1228.5 MiB | K   13 | loss  1.960804913e+00 | Ndiff    0.189 
   44.000/300 after      5 sec. |   1228.5 MiB | K   13 | loss  1.960799380e+00 | Ndiff    0.297 
   45.000/300 after      5 sec. |   1228.5 MiB | K   13 | loss  1.960782976e+00 | Ndiff    0.359 
   46.000/300 after      5 sec. |   1228.5 MiB | K   13 | loss  1.960747265e+00 | Ndiff    0.506 
   47.000/300 after      5 sec. |   1228.5 MiB | K   13 | loss  1.960718778e+00 | Ndiff    0.353 
   48.000/300 after      5 sec. |   1228.5 MiB | K   13 | loss  1.960708171e+00 | Ndiff    0.397 
   49.000/300 after      6 sec. |   1228.5 MiB | K   13 | loss  1.960701184e+00 | Ndiff    0.335 
   50.000/300 after      6 sec. |   1228.5 MiB | K   13 | loss  1.960696358e+00 | Ndiff    0.241 
   51.000/300 after      6 sec. |   1228.5 MiB | K   13 | loss  1.960693177e+00 | Ndiff    0.262 
   52.000/300 after      6 sec. |   1228.5 MiB | K   13 | loss  1.960690912e+00 | Ndiff    0.204 
   53.000/300 after      6 sec. |   1228.5 MiB | K   13 | loss  1.960689360e+00 | Ndiff    0.149 
   54.000/300 after      6 sec. |   1228.5 MiB | K   13 | loss  1.960688360e+00 | Ndiff    0.116 
   55.000/300 after      6 sec. |   1228.5 MiB | K   13 | loss  1.960687633e+00 | Ndiff    0.077 
   56.000/300 after      6 sec. |   1228.5 MiB | K   13 | loss  1.960687109e+00 | Ndiff    0.082 
   57.000/300 after      6 sec. |   1228.5 MiB | K   13 | loss  1.960686717e+00 | Ndiff    0.073 
   58.000/300 after      7 sec. |   1228.5 MiB | K   13 | loss  1.960686420e+00 | Ndiff    0.061 
   59.000/300 after      7 sec. |   1228.5 MiB | K   13 | loss  1.960686184e+00 | Ndiff    0.062 
   60.000/300 after      7 sec. |   1228.5 MiB | K   13 | loss  1.960685994e+00 | Ndiff    0.041 
   61.000/300 after      7 sec. |   1228.5 MiB | K   13 | loss  1.960685835e+00 | Ndiff    0.047 
   62.000/300 after      7 sec. |   1228.5 MiB | K   13 | loss  1.960685706e+00 | Ndiff    0.039 
   63.000/300 after      7 sec. |   1228.5 MiB | K   13 | loss  1.960685597e+00 | Ndiff    0.031 
   64.000/300 after      7 sec. |   1228.5 MiB | K   13 | loss  1.960685506e+00 | Ndiff    0.037 
   65.000/300 after      7 sec. |   1228.5 MiB | K   13 | loss  1.960685427e+00 | Ndiff    0.026 
   66.000/300 after      7 sec. |   1228.5 MiB | K   13 | loss  1.960685357e+00 | Ndiff    0.028 
   67.000/300 after      8 sec. |   1228.5 MiB | K   13 | loss  1.960685294e+00 | Ndiff    0.020 
   68.000/300 after      8 sec. |   1228.5 MiB | K   13 | loss  1.960685237e+00 | Ndiff    0.020 
   69.000/300 after      8 sec. |   1228.5 MiB | K   13 | loss  1.960685183e+00 | Ndiff    0.019 
   70.000/300 after      8 sec. |   1228.5 MiB | K   13 | loss  1.960685130e+00 | Ndiff    0.020 
   71.000/300 after      8 sec. |   1228.5 MiB | K   13 | loss  1.960685079e+00 | Ndiff    0.023 
   72.000/300 after      8 sec. |   1228.5 MiB | K   13 | loss  1.960685023e+00 | Ndiff    0.020 
   73.000/300 after      8 sec. |   1228.5 MiB | K   13 | loss  1.960684959e+00 | Ndiff    0.024 
   74.000/300 after      8 sec. |   1228.5 MiB | K   13 | loss  1.960684885e+00 | Ndiff    0.027 
   75.000/300 after      8 sec. |   1228.5 MiB | K   13 | loss  1.960684803e+00 | Ndiff    0.034 
   76.000/300 after      9 sec. |   1228.5 MiB | K   13 | loss  1.960684701e+00 | Ndiff    0.028 
   77.000/300 after      9 sec. |   1228.5 MiB | K   13 | loss  1.960684570e+00 | Ndiff    0.038 
   78.000/300 after      9 sec. |   1228.5 MiB | K   13 | loss  1.960684410e+00 | Ndiff    0.062 
   79.000/300 after      9 sec. |   1228.5 MiB | K   13 | loss  1.960684191e+00 | Ndiff    0.058 
   80.000/300 after      9 sec. |   1228.5 MiB | K   13 | loss  1.960683902e+00 | Ndiff    0.063 
   81.000/300 after      9 sec. |   1228.5 MiB | K   13 | loss  1.960683481e+00 | Ndiff    0.075 
   82.000/300 after      9 sec. |   1228.5 MiB | K   13 | loss  1.960682899e+00 | Ndiff    0.109 
   83.000/300 after      9 sec. |   1228.5 MiB | K   13 | loss  1.960682038e+00 | Ndiff    0.097 
   84.000/300 after     10 sec. |   1228.5 MiB | K   13 | loss  1.960680737e+00 | Ndiff    0.123 
   85.000/300 after     10 sec. |   1228.5 MiB | K   13 | loss  1.960678877e+00 | Ndiff    0.154 
   86.000/300 after     10 sec. |   1228.5 MiB | K   13 | loss  1.960676620e+00 | Ndiff    0.140 
   87.000/300 after     10 sec. |   1228.5 MiB | K   13 | loss  1.960674135e+00 | Ndiff    0.182 
   88.000/300 after     10 sec. |   1228.5 MiB | K   13 | loss  1.960671634e+00 | Ndiff    0.190 
   89.000/300 after     10 sec. |   1228.5 MiB | K   13 | loss  1.960669370e+00 | Ndiff    0.149 
   90.000/300 after     10 sec. |   1228.5 MiB | K   13 | loss  1.960667381e+00 | Ndiff    0.155 
   91.000/300 after     10 sec. |   1228.5 MiB | K   13 | loss  1.960665639e+00 | Ndiff    0.121 
   92.000/300 after     10 sec. |   1228.5 MiB | K   13 | loss  1.960664010e+00 | Ndiff    0.122 
   93.000/300 after     11 sec. |   1228.5 MiB | K   13 | loss  1.960662356e+00 | Ndiff    0.112 
   94.000/300 after     11 sec. |   1228.6 MiB | K   13 | loss  1.960660393e+00 | Ndiff    0.136 
   95.000/300 after     11 sec. |   1228.6 MiB | K   13 | loss  1.960657884e+00 | Ndiff    0.148 
   96.000/300 after     11 sec. |   1228.6 MiB | K   13 | loss  1.960654390e+00 | Ndiff    0.189 
   97.000/300 after     11 sec. |   1228.6 MiB | K   13 | loss  1.960649652e+00 | Ndiff    0.199 
   98.000/300 after     11 sec. |   1228.6 MiB | K   13 | loss  1.960643791e+00 | Ndiff    0.179 
   99.000/300 after     11 sec. |   1228.6 MiB | K   13 | loss  1.960637555e+00 | Ndiff    0.202 
  100.000/300 after     11 sec. |   1228.6 MiB | K   13 | loss  1.960632298e+00 | Ndiff    0.154 
  101.000/300 after     11 sec. |   1228.6 MiB | K   13 | loss  1.960628873e+00 | Ndiff    0.159 
  102.000/300 after     12 sec. |   1228.6 MiB | K   13 | loss  1.960627158e+00 | Ndiff    0.127 
  103.000/300 after     12 sec. |   1228.6 MiB | K   13 | loss  1.960626162e+00 | Ndiff    0.106 
  104.000/300 after     12 sec. |   1228.6 MiB | K   13 | loss  1.960625054e+00 | Ndiff    0.106 
  105.000/300 after     12 sec. |   1228.6 MiB | K   13 | loss  1.960622752e+00 | Ndiff    0.161 
  106.000/300 after     12 sec. |   1228.6 MiB | K   13 | loss  1.960617568e+00 | Ndiff    0.236 
  107.000/300 after     12 sec. |   1228.6 MiB | K   13 | loss  1.960611572e+00 | Ndiff    0.217 
  108.000/300 after     12 sec. |   1228.6 MiB | K   13 | loss  1.960609536e+00 | Ndiff    0.073 
  109.000/300 after     12 sec. |   1228.6 MiB | K   13 | loss  1.960609063e+00 | Ndiff    0.058 
  110.000/300 after     12 sec. |   1228.6 MiB | K   13 | loss  1.960608893e+00 | Ndiff    0.055 
  111.000/300 after     13 sec. |   1228.6 MiB | K   13 | loss  1.960608815e+00 | Ndiff    0.040 
  112.000/300 after     13 sec. |   1228.6 MiB | K   13 | loss  1.960608775e+00 | Ndiff    0.034 
  113.000/300 after     13 sec. |   1228.6 MiB | K   13 | loss  1.960608753e+00 | Ndiff    0.023 
  114.000/300 after     13 sec. |   1228.6 MiB | K   13 | loss  1.960608740e+00 | Ndiff    0.015 
  115.000/300 after     13 sec. |   1228.6 MiB | K   13 | loss  1.960608733e+00 | Ndiff    0.011 
  116.000/300 after     13 sec. |   1228.6 MiB | K   13 | loss  1.960608728e+00 | Ndiff    0.008 
... done. converged.
WARNING: Found unrecognized keyword args. These are ignored.
  --gamma1
Dataset Summary:
X Data
  total size: 5000 units
  batch size: 1000 units
  num. batches: 5
Allocation Model:  DP mixture with K=0. Concentration gamma0= 5.00
Obs. Data  Model:  Gaussian with full covariance.
Obs. Data  Prior:  Gauss-Wishart on mean and covar of each cluster
  E[  mean[k] ] = 
   [0. 0.]  ...
  E[ covar[k] ] = 
  [[0.1 0. ]
   [0.  0.1]] ...
Initialization:
  initname = /home/zifeng/Research/DPVAE/mnist_results_new8/Kmax50mnistepoch10batch_iter3scale0.005bs5000rep2sf0.1/1
  K = 1 (number of clusters)
  seed = 1607680
  elapsed_time: 0.0 sec
Learn Alg: memoVB | task  1/1 | alg. seed: 1607680 | data order seed: 8541952
task_output_path: /home/zifeng/Research/DPVAE/mnist_results_new8/Kmax50mnistepoch10batch_iter3scale0.005bs5000rep2sf0.1/1
    0.200/300 after      0 sec. |   1546.4 MiB | K   13 | loss  2.044883761e+00 |  
    0.400/300 after      0 sec. |   1546.4 MiB | K   13 | loss  1.799617107e+00 |  
    0.600/300 after      0 sec. |   1546.4 MiB | K   13 | loss  1.685675016e+00 |  
    1.000/300 after      0 sec. |   1546.4 MiB | K   13 | loss  1.582167255e+00 |  
    2.000/300 after      1 sec. |   1546.4 MiB | K   24 | loss  1.258797736e+00 | Ndiff  382.997 
    3.000/300 after      1 sec. |   1546.4 MiB | K   26 | loss  1.202223632e+00 | Ndiff   34.840 
    4.000/300 after      1 sec. |   1546.4 MiB | K   26 | loss  1.188918577e+00 | Ndiff   19.454 
    5.000/300 after      1 sec. |   1546.4 MiB | K   19 | loss  1.181581032e+00 | Ndiff    5.085 
    6.000/300 after      2 sec. |   1546.4 MiB | K   17 | loss  1.176927584e+00 | Ndiff    3.943 
    7.000/300 after      2 sec. |   1546.4 MiB | K   16 | loss  1.172089764e+00 | Ndiff   10.536 
    8.000/300 after      2 sec. |   1546.4 MiB | K   13 | loss  1.168286249e+00 | Ndiff   10.536 
    9.000/300 after      2 sec. |   1546.4 MiB | K   13 | loss  1.165776800e+00 | Ndiff    2.389 
   10.000/300 after      2 sec. |   1546.4 MiB | K   13 | loss  1.165641962e+00 | Ndiff    1.152 
   11.000/300 after      2 sec. |   1546.4 MiB | K   12 | loss  1.164851833e+00 | Ndiff    0.991 
   12.000/300 after      2 sec. |   1546.4 MiB | K   12 | loss  1.164607486e+00 | Ndiff    1.631 
   13.000/300 after      3 sec. |   1546.4 MiB | K   12 | loss  1.164587686e+00 | Ndiff    0.468 
   14.000/300 after      3 sec. |   1546.4 MiB | K   12 | loss  1.164576570e+00 | Ndiff    0.301 
   15.000/300 after      3 sec. |   1546.4 MiB | K   12 | loss  1.164565171e+00 | Ndiff    0.348 
   16.000/300 after      3 sec. |   1546.4 MiB | K   12 | loss  1.164550474e+00 | Ndiff    0.430 
   17.000/300 after      3 sec. |   1546.4 MiB | K   12 | loss  1.164532879e+00 | Ndiff    0.375 
   18.000/300 after      3 sec. |   1546.4 MiB | K   12 | loss  1.164518619e+00 | Ndiff    0.416 
   19.000/300 after      3 sec. |   1546.4 MiB | K   12 | loss  1.164510845e+00 | Ndiff    0.893 
   20.000/300 after      3 sec. |   1546.4 MiB | K   12 | loss  1.164506076e+00 | Ndiff    0.294 
   21.000/300 after      3 sec. |   1546.4 MiB | K   12 | loss  1.164500982e+00 | Ndiff    0.164 
   22.000/300 after      4 sec. |   1546.4 MiB | K   12 | loss  1.164483689e+00 | Ndiff    0.318 
   23.000/300 after      4 sec. |   1546.4 MiB | K   12 | loss  1.164439055e+00 | Ndiff    0.451 
   24.000/300 after      4 sec. |   1546.4 MiB | K   12 | loss  1.164430785e+00 | Ndiff    0.196 
   25.000/300 after      4 sec. |   1546.4 MiB | K   12 | loss  1.164428281e+00 | Ndiff    0.149 
   26.000/300 after      4 sec. |   1546.4 MiB | K   12 | loss  1.164426405e+00 | Ndiff    0.135 
   27.000/300 after      4 sec. |   1546.4 MiB | K   12 | loss  1.164424481e+00 | Ndiff    0.145 
   28.000/300 after      4 sec. |   1546.4 MiB | K   12 | loss  1.164422536e+00 | Ndiff    0.141 
   29.000/300 after      4 sec. |   1546.4 MiB | K   12 | loss  1.164420967e+00 | Ndiff    0.122 
   30.000/300 after      4 sec. |   1546.4 MiB | K   12 | loss  1.164419963e+00 | Ndiff    0.075 
   31.000/300 after      4 sec. |   1546.4 MiB | K   12 | loss  1.164419439e+00 | Ndiff    0.065 
   32.000/300 after      5 sec. |   1546.4 MiB | K   12 | loss  1.164419203e+00 | Ndiff    0.067 
   33.000/300 after      5 sec. |   1546.4 MiB | K   12 | loss  1.164419075e+00 | Ndiff    0.060 
   34.000/300 after      5 sec. |   1546.4 MiB | K   12 | loss  1.164418990e+00 | Ndiff    0.046 
   35.000/300 after      5 sec. |   1546.4 MiB | K   12 | loss  1.164418922e+00 | Ndiff    0.045 
   36.000/300 after      5 sec. |   1546.4 MiB | K   12 | loss  1.164418870e+00 | Ndiff    0.032 
   37.000/300 after      5 sec. |   1546.4 MiB | K   12 | loss  1.164418825e+00 | Ndiff    0.041 
   38.000/300 after      5 sec. |   1546.4 MiB | K   12 | loss  1.164418785e+00 | Ndiff    0.030 
   39.000/300 after      5 sec. |   1546.4 MiB | K   12 | loss  1.164418750e+00 | Ndiff    0.035 
   40.000/300 after      5 sec. |   1546.4 MiB | K   12 | loss  1.164418720e+00 | Ndiff    0.031 
   41.000/300 after      6 sec. |   1546.4 MiB | K   12 | loss  1.164418693e+00 | Ndiff    0.025 
   42.000/300 after      6 sec. |   1546.4 MiB | K   12 | loss  1.164418670e+00 | Ndiff    0.027 
   43.000/300 after      6 sec. |   1546.4 MiB | K   12 | loss  1.164418649e+00 | Ndiff    0.022 
   44.000/300 after      6 sec. |   1546.4 MiB | K   12 | loss  1.164418631e+00 | Ndiff    0.026 
   45.000/300 after      6 sec. |   1546.4 MiB | K   12 | loss  1.164418614e+00 | Ndiff    0.020 
   46.000/300 after      6 sec. |   1546.4 MiB | K   12 | loss  1.164418600e+00 | Ndiff    0.017 
   47.000/300 after      6 sec. |   1546.4 MiB | K   12 | loss  1.164418587e+00 | Ndiff    0.018 
   48.000/300 after      6 sec. |   1546.4 MiB | K   12 | loss  1.164418577e+00 | Ndiff    0.016 
   49.000/300 after      6 sec. |   1546.4 MiB | K   12 | loss  1.164418567e+00 | Ndiff    0.015 
   50.000/300 after      7 sec. |   1546.4 MiB | K   12 | loss  1.164418559e+00 | Ndiff    0.015 
   51.000/300 after      7 sec. |   1546.4 MiB | K   12 | loss  1.164418552e+00 | Ndiff    0.010 
   52.000/300 after      7 sec. |   1546.4 MiB | K   12 | loss  1.164418546e+00 | Ndiff    0.010 
   53.000/300 after      7 sec. |   1546.4 MiB | K   12 | loss  1.164418540e+00 | Ndiff    0.012 
   54.000/300 after      7 sec. |   1546.4 MiB | K   12 | loss  1.164418536e+00 | Ndiff    0.011 
   55.000/300 after      7 sec. |   1546.4 MiB | K   12 | loss  1.164418532e+00 | Ndiff    0.008 
   56.000/300 after      7 sec. |   1546.4 MiB | K   12 | loss  1.164418528e+00 | Ndiff    0.006 
... done. converged.
WARNING: Found unrecognized keyword args. These are ignored.
  --gamma1
Dataset Summary:
X Data
  total size: 5000 units
  batch size: 1000 units
  num. batches: 5
Allocation Model:  DP mixture with K=0. Concentration gamma0= 5.00
Obs. Data  Model:  Gaussian with full covariance.
Obs. Data  Prior:  Gauss-Wishart on mean and covar of each cluster
  E[  mean[k] ] = 
   [0. 0.]  ...
  E[ covar[k] ] = 
  [[0.1 0. ]
   [0.  0.1]] ...
Initialization:
  initname = /home/zifeng/Research/DPVAE/mnist_results_new8/Kmax50mnistepoch10batch_iter3scale0.005bs5000rep2sf0.1/1
  K = 1 (number of clusters)
  seed = 1607680
  elapsed_time: 0.0 sec
Learn Alg: memoVB | task  1/1 | alg. seed: 1607680 | data order seed: 8541952
task_output_path: /home/zifeng/Research/DPVAE/mnist_results_new8/Kmax50mnistepoch10batch_iter3scale0.005bs5000rep2sf0.1/1
    0.200/300 after      0 sec. |   1621.1 MiB | K   12 | loss  1.400850388e+00 |  
    0.400/300 after      0 sec. |   1621.1 MiB | K   12 | loss  1.262666113e+00 |  
    0.600/300 after      0 sec. |   1621.1 MiB | K   12 | loss  1.211775026e+00 |  
    1.000/300 after      0 sec. |   1621.1 MiB | K   12 | loss  1.170998914e+00 |  
    2.000/300 after      0 sec. |   1621.1 MiB | K   12 | loss  1.168740422e+00 | Ndiff    9.935 
    3.000/300 after      0 sec. |   1621.1 MiB | K   12 | loss  1.168305323e+00 | Ndiff    5.092 
    4.000/300 after      0 sec. |   1621.1 MiB | K   12 | loss  1.168113487e+00 | Ndiff    1.581 
    5.000/300 after      1 sec. |   1621.1 MiB | K   12 | loss  1.168039082e+00 | Ndiff    0.844 
    6.000/300 after      1 sec. |   1621.1 MiB | K   12 | loss  1.168014598e+00 | Ndiff    0.506 
    7.000/300 after      1 sec. |   1621.1 MiB | K   12 | loss  1.168009630e+00 | Ndiff    0.303 
    8.000/300 after      1 sec. |   1621.1 MiB | K   12 | loss  1.168008062e+00 | Ndiff    0.142 
    9.000/300 after      1 sec. |   1621.1 MiB | K   12 | loss  1.168007378e+00 | Ndiff    0.115 
   10.000/300 after      1 sec. |   1621.1 MiB | K   12 | loss  1.168006936e+00 | Ndiff    0.065 
   11.000/300 after      1 sec. |   1621.1 MiB | K   12 | loss  1.168006579e+00 | Ndiff    0.067 
   12.000/300 after      1 sec. |   1621.1 MiB | K   12 | loss  1.168006231e+00 | Ndiff    0.058 
   13.000/300 after      1 sec. |   1621.1 MiB | K   12 | loss  1.168005857e+00 | Ndiff    0.059 
   14.000/300 after      2 sec. |   1621.1 MiB | K   12 | loss  1.168005390e+00 | Ndiff    0.065 
   15.000/300 after      2 sec. |   1621.1 MiB | K   12 | loss  1.168004520e+00 | Ndiff    0.091 
   16.000/300 after      2 sec. |   1621.1 MiB | K   12 | loss  1.168001293e+00 | Ndiff    0.184 
   17.000/300 after      2 sec. |   1621.1 MiB | K   12 | loss  1.167977137e+00 | Ndiff    0.375 
   18.000/300 after      2 sec. |   1621.1 MiB | K   12 | loss  1.167900547e+00 | Ndiff    1.380 
   19.000/300 after      2 sec. |   1621.1 MiB | K   12 | loss  1.167891592e+00 | Ndiff    0.283 
   20.000/300 after      2 sec. |   1621.1 MiB | K   12 | loss  1.167890043e+00 | Ndiff    0.183 
   21.000/300 after      2 sec. |   1621.1 MiB | K   12 | loss  1.167889484e+00 | Ndiff    0.349 
   22.000/300 after      3 sec. |   1621.1 MiB | K   12 | loss  1.167889240e+00 | Ndiff    0.058 
   23.000/300 after      3 sec. |   1621.1 MiB | K   12 | loss  1.167889119e+00 | Ndiff    0.042 
   24.000/300 after      3 sec. |   1621.1 MiB | K   12 | loss  1.167889051e+00 | Ndiff    0.023 
   25.000/300 after      3 sec. |   1621.1 MiB | K   12 | loss  1.167889010e+00 | Ndiff    0.024 
   26.000/300 after      3 sec. |   1621.1 MiB | K   12 | loss  1.167888981e+00 | Ndiff    0.018 
   27.000/300 after      3 sec. |   1621.1 MiB | K   12 | loss  1.167888960e+00 | Ndiff    0.021 
   28.000/300 after      3 sec. |   1621.1 MiB | K   12 | loss  1.167888944e+00 | Ndiff    0.019 
   29.000/300 after      3 sec. |   1621.1 MiB | K   12 | loss  1.167888930e+00 | Ndiff    0.016 
   30.000/300 after      4 sec. |   1621.1 MiB | K   12 | loss  1.167888919e+00 | Ndiff    0.016 
   31.000/300 after      4 sec. |   1621.1 MiB | K   12 | loss  1.167888909e+00 | Ndiff    0.015 
   32.000/300 after      4 sec. |   1621.1 MiB | K   12 | loss  1.167888900e+00 | Ndiff    0.012 
   33.000/300 after      4 sec. |   1621.1 MiB | K   12 | loss  1.167888893e+00 | Ndiff    0.014 
   34.000/300 after      4 sec. |   1621.1 MiB | K   12 | loss  1.167888886e+00 | Ndiff    0.012 
   35.000/300 after      4 sec. |   1621.1 MiB | K   12 | loss  1.167888880e+00 | Ndiff    0.013 
   36.000/300 after      4 sec. |   1621.1 MiB | K   12 | loss  1.167888874e+00 | Ndiff    0.012 
   37.000/300 after      4 sec. |   1621.1 MiB | K   12 | loss  1.167888868e+00 | Ndiff    0.012 
   38.000/300 after      4 sec. |   1621.1 MiB | K   12 | loss  1.167888862e+00 | Ndiff    0.011 
   39.000/300 after      5 sec. |   1621.1 MiB | K   12 | loss  1.167888857e+00 | Ndiff    0.011 
   40.000/300 after      5 sec. |   1621.1 MiB | K   12 | loss  1.167888852e+00 | Ndiff    0.012 
   41.000/300 after      5 sec. |   1621.1 MiB | K   12 | loss  1.167888847e+00 | Ndiff    0.010 
   42.000/300 after      5 sec. |   1621.1 MiB | K   12 | loss  1.167888842e+00 | Ndiff    0.012 
   43.000/300 after      5 sec. |   1621.1 MiB | K   12 | loss  1.167888837e+00 | Ndiff    0.010 
   44.000/300 after      5 sec. |   1621.1 MiB | K   12 | loss  1.167888832e+00 | Ndiff    0.012 
   45.000/300 after      5 sec. |   1621.1 MiB | K   12 | loss  1.167888826e+00 | Ndiff    0.011 
   46.000/300 after      5 sec. |   1621.1 MiB | K   12 | loss  1.167888821e+00 | Ndiff    0.012 
   47.000/300 after      5 sec. |   1621.1 MiB | K   12 | loss  1.167888815e+00 | Ndiff    0.012 
